time,cpu,memory,io_read,io_write
2024-04-17 13:46:31.264522,25.4,20.1,5511854592,57946564096
2024-04-17 13:46:32.299504,26.3,20.0,5511854592,57946564096
2024-04-17 13:46:33.341239,26.7,20.0,5511854592,57946600960
2024-04-17 13:46:34.374559,25.5,19.9,5511854592,57946600960
2024-04-17 13:46:35.420687,27.7,19.9,5522524672,57946600960
2024-04-17 13:46:36.456907,26.6,19.9,5522524672,57946600960
2024-04-17 13:46:37.495651,26.3,20.0,5522524672,57946600960
2024-04-17 13:46:38.539162,26.9,20.0,5522541056,57947399680
2024-04-17 13:46:39.578092,25.2,20.0,5522541056,57947399680
2024-04-17 13:46:40.627877,28.0,20.0,5523220992,57947399680
2024-04-17 13:46:41.670963,25.3,20.0,5523261952,57947399680
2024-04-17 13:46:42.726624,27.2,20.0,5523302912,57947399680
2024-04-17 13:46:43.763293,25.9,20.0,5523343872,57947616768
2024-04-17 13:46:44.802811,26.2,20.0,5523368448,57947616768
2024-04-17 13:46:45.843801,27.3,20.0,5523368448,57947616768
2024-04-17 13:46:46.882526,25.5,20.0,5523368448,57947616768
2024-04-17 13:46:47.921670,26.6,19.9,5523368448,57947616768
2024-04-17 13:46:48.957123,26.0,20.0,5523368448,57948190208


