time,container_id,cpu,memory
2024-04-17 15:14:58.424200,mycri_2,195.53%,6.53%
2024-04-17 15:14:59.458285,mycri_2,195.48%,6.82%
2024-04-17 15:15:00.494174,mycri_2,195.41%,6.69%
2024-04-17 15:15:01.542551,mycri_2,195.53%,6.69%
2024-04-17 15:15:02.583038,mycri_2,195.50%,6.69%
2024-04-17 15:15:03.626756,mycri_2,195.58%,6.69%
2024-04-17 15:15:04.670161,mycri_2,195.59%,6.69%
2024-04-17 15:15:05.715401,mycri_2,195.64%,6.73%
2024-04-17 15:15:06.755870,mycri_2,195.68%,6.75%
2024-04-17 15:15:07.803080,mycri_2,195.66%,6.75%
2024-04-17 15:15:08.851408,mycri_2,195.74%,6.80%
2024-04-17 15:15:09.890821,mycri_2,195.71%,6.84%
2024-04-17 15:15:10.931598,mycri_2,195.83%,6.90%
2024-04-17 15:15:11.968067,mycri_2,195.82%,6.90%
2024-04-17 15:15:13.013085,mycri_2,195.85%,6.90%
2024-04-17 15:15:14.047815,mycri_2,195.92%,6.94%
2024-04-17 15:15:15.080067,mycri_2,195.89%,6.94%
2024-04-17 15:15:16.125600,mycri_2,195.99%,6.94%
2024-04-17 15:15:17.161914,mycri_2,195.98%,6.97%
2024-04-17 15:15:18.200125,mycri_2,195.95%,6.97%
2024-04-17 15:15:19.239141,mycri_2,196.06%,6.99%
2024-04-17 15:15:20.275556,mycri_2,196.03%,7.00%
