2024-04-17 14:44:59,063 - performance_monitor - INFO - Starting the performance monitoring for container: mycri_2. Press Ctrl+C to stop.
2024-04-17 14:45:13,585 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 13, 585275), 'container_id': 'mycri_2', 'cpu': '161.56%', 'memory': '5.90%'}
2024-04-17 14:45:14,636 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 14, 636690), 'container_id': 'mycri_2', 'cpu': '166.29%', 'memory': '5.78%'}
2024-04-17 14:45:14,637 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 14, 636690), 'container_id': 'mycri_2', 'cpu': '166.29%', 'memory': '5.78%'}
2024-04-17 14:45:15,672 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 15, 672425), 'container_id': 'mycri_2', 'cpu': '168.65%', 'memory': '5.79%'}
2024-04-17 14:45:15,673 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 15, 672425), 'container_id': 'mycri_2', 'cpu': '168.65%', 'memory': '5.79%'}
2024-04-17 14:45:16,718 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 16, 718061), 'container_id': 'mycri_2', 'cpu': '171.31%', 'memory': '5.86%'}
2024-04-17 14:45:16,718 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 16, 718061), 'container_id': 'mycri_2', 'cpu': '171.31%', 'memory': '5.86%'}
2024-04-17 14:45:17,755 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 17, 755113), 'container_id': 'mycri_2', 'cpu': '173.59%', 'memory': '5.72%'}
2024-04-17 14:45:17,756 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 17, 755113), 'container_id': 'mycri_2', 'cpu': '173.59%', 'memory': '5.72%'}
2024-04-17 14:45:18,791 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 18, 791647), 'container_id': 'mycri_2', 'cpu': '174.83%', 'memory': '5.87%'}
2024-04-17 14:45:18,792 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 18, 791647), 'container_id': 'mycri_2', 'cpu': '174.83%', 'memory': '5.87%'}
2024-04-17 14:45:19,839 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 19, 839610), 'container_id': 'mycri_2', 'cpu': '177.20%', 'memory': '5.90%'}
2024-04-17 14:45:19,840 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 19, 839610), 'container_id': 'mycri_2', 'cpu': '177.20%', 'memory': '5.90%'}
2024-04-17 14:45:20,876 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 20, 876915), 'container_id': 'mycri_2', 'cpu': '178.08%', 'memory': '6.01%'}
2024-04-17 14:45:20,877 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 20, 876915), 'container_id': 'mycri_2', 'cpu': '178.08%', 'memory': '6.01%'}
2024-04-17 14:45:21,925 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 21, 925123), 'container_id': 'mycri_2', 'cpu': '179.49%', 'memory': '5.75%'}
2024-04-17 14:45:21,925 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 21, 925123), 'container_id': 'mycri_2', 'cpu': '179.49%', 'memory': '5.75%'}
2024-04-17 14:45:22,961 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 22, 961089), 'container_id': 'mycri_2', 'cpu': '180.57%', 'memory': '5.94%'}
2024-04-17 14:45:22,961 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 22, 961089), 'container_id': 'mycri_2', 'cpu': '180.57%', 'memory': '5.94%'}
2024-04-17 14:45:23,995 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 23, 995852), 'container_id': 'mycri_2', 'cpu': '181.25%', 'memory': '5.94%'}
2024-04-17 14:45:23,996 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 23, 995852), 'container_id': 'mycri_2', 'cpu': '181.25%', 'memory': '5.94%'}
2024-04-17 14:45:25,042 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 25, 42841), 'container_id': 'mycri_2', 'cpu': '182.55%', 'memory': '5.88%'}
2024-04-17 14:45:25,043 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 25, 42841), 'container_id': 'mycri_2', 'cpu': '182.55%', 'memory': '5.88%'}
2024-04-17 14:45:26,077 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 26, 77590), 'container_id': 'mycri_2', 'cpu': '183.05%', 'memory': '5.87%'}
2024-04-17 14:45:26,078 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 26, 77590), 'container_id': 'mycri_2', 'cpu': '183.05%', 'memory': '5.87%'}
2024-04-17 14:45:27,123 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 27, 123424), 'container_id': 'mycri_2', 'cpu': '184.02%', 'memory': '5.90%'}
2024-04-17 14:45:27,124 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 27, 123424), 'container_id': 'mycri_2', 'cpu': '184.02%', 'memory': '5.90%'}
2024-04-17 14:45:28,159 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 28, 159482), 'container_id': 'mycri_2', 'cpu': '184.60%', 'memory': '5.96%'}
2024-04-17 14:45:28,160 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 28, 159482), 'container_id': 'mycri_2', 'cpu': '184.60%', 'memory': '5.96%'}
2024-04-17 14:45:29,200 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 29, 200431), 'container_id': 'mycri_2', 'cpu': '184.94%', 'memory': '5.96%'}
2024-04-17 14:45:29,201 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 29, 200431), 'container_id': 'mycri_2', 'cpu': '184.94%', 'memory': '5.96%'}
2024-04-17 14:45:30,243 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 30, 243129), 'container_id': 'mycri_2', 'cpu': '185.85%', 'memory': '6.02%'}
2024-04-17 14:45:30,243 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 30, 243129), 'container_id': 'mycri_2', 'cpu': '185.85%', 'memory': '6.02%'}
2024-04-17 14:45:31,281 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 31, 281310), 'container_id': 'mycri_2', 'cpu': '186.06%', 'memory': '6.06%'}
2024-04-17 14:45:31,282 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 31, 281310), 'container_id': 'mycri_2', 'cpu': '186.06%', 'memory': '6.06%'}
2024-04-17 14:45:32,330 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 32, 330162), 'container_id': 'mycri_2', 'cpu': '186.84%', 'memory': '6.10%'}
2024-04-17 14:45:32,331 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 32, 330162), 'container_id': 'mycri_2', 'cpu': '186.84%', 'memory': '6.10%'}
2024-04-17 14:45:33,364 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 33, 363965), 'container_id': 'mycri_2', 'cpu': '187.10%', 'memory': '6.04%'}
2024-04-17 14:45:33,364 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 33, 363965), 'container_id': 'mycri_2', 'cpu': '187.10%', 'memory': '6.04%'}
2024-04-17 14:45:34,399 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 34, 398999), 'container_id': 'mycri_2', 'cpu': '187.39%', 'memory': '6.04%'}
2024-04-17 14:45:34,399 - performance_monitor - INFO - Logged data: {'time': datetime.datetime(2024, 4, 17, 14, 45, 34, 398999), 'container_id': 'mycri_2', 'cpu': '187.39%', 'memory': '6.04%'}
