time,cpu,memory,io_read,io_write
2024-04-17 15:14:39.726682,27.3,19.4,5643045376,59037943296
2024-04-17 15:14:40.769433,25.5,19.6,5643045376,59037943296
2024-04-17 15:14:41.809142,26.8,19.6,5643045376,59037943296
2024-04-17 15:14:42.844969,26.8,19.7,5643045376,59037971968
2024-04-17 15:14:43.878787,25.5,19.7,5643045376,59037971968
2024-04-17 15:14:44.925039,27.5,19.6,5643045376,59037971968
2024-04-17 15:14:45.960878,25.6,19.7,5643045376,59037971968
2024-04-17 15:14:47.001026,26.3,19.7,5643045376,59037971968
2024-04-17 15:14:48.041958,26.9,19.5,5643045376,59038000640
2024-04-17 15:14:49.075296,25.5,19.6,5643045376,59038000640
2024-04-17 15:14:50.118003,26.7,19.6,5643045376,59038000640
2024-04-17 15:14:51.157578,26.1,19.6,5643045376,59038000640
2024-04-17 15:14:52.197638,26.1,19.6,5643045376,59038000640
2024-04-17 15:14:53.238574,27.0,19.5,5643045376,59038025216
2024-04-17 15:14:54.271795,25.6,19.6,5643045376,59038025216
2024-04-17 15:14:55.309776,26.6,19.6,5643045376,59038025216
2024-04-17 15:14:56.349621,26.4,19.5,5643045376,59038025216
2024-04-17 15:14:57.382658,25.0,19.7,5643045376,59038139904
2024-04-17 15:14:58.424838,27.9,19.6,5643045376,59038193152
2024-04-17 15:14:59.458864,25.4,19.9,5643045376,59038193152
2024-04-17 15:15:00.494823,25.5,19.8,5643045376,59038193152
2024-04-17 15:15:01.543255,28.2,19.8,5643045376,59038193152
2024-04-17 15:15:02.583636,25.2,19.8,5643045376,59038193152
2024-04-17 15:15:03.627716,27.6,19.8,5643045376,59038217728
2024-04-17 15:15:04.670759,25.6,19.8,5643045376,59038217728
2024-04-17 15:15:05.716050,27.0,19.8,5643045376,59038217728
2024-04-17 15:15:06.756561,26.5,19.8,5643045376,59038254592
2024-04-17 15:15:07.803774,26.6,19.9,5643045376,59038254592
2024-04-17 15:15:08.852064,26.5,19.9,5643045376,59038279168
2024-04-17 15:15:09.891451,25.7,19.9,5643045376,59038279168
2024-04-17 15:15:10.932403,27.6,20.0,5643045376,59038279168
2024-04-17 15:15:11.968977,25.3,20.0,5643045376,59038283264
2024-04-17 15:15:13.013736,26.8,20.0,5643045376,59038307840
2024-04-17 15:15:14.048425,26.1,20.0,5643045376,59038307840
2024-04-17 15:15:15.080668,25.7,20.0,5643045376,59038307840
2024-04-17 15:15:16.126262,27.3,20.0,5643045376,59038307840
2024-04-17 15:15:17.162631,25.6,20.1,5643045376,59038311936
2024-04-17 15:15:18.200780,26.0,20.1,5643045376,59038336512
2024-04-17 15:15:19.240028,26.8,20.1,5643045376,59038336512
2024-04-17 15:15:20.276280,25.8,20.1,5643045376,59038336512
